jako_df.key,jako_df.substrate,jako_polygon_area,jako_df.multiplier,corrected_area,substrate,corrected_mussel_area,"replace_na(substrate, ""unknown"")"
1737,pebble_granule,1356.708248961717,1.0154266118857451,1377.637660560638,pebble_granule,620.7526465111051,pebble_granule
1711,boulder,1117.1893686363474,1.040953113521426,1162.941751675042,boulder,572.6615920685825,boulder
1713,boulder,377.64357509906404,1.082392200292394,408.7584601777619,boulder,201.2828847530344,boulder
1702,boulder,2344.500702469508,1.0069799246935383,2360.8651408166925,boulder,1162.5490169666598,boulder
1700,pebble_granule,4179.12475842626,1.0025972368271479,4189.97893515409,pebble_granule,1887.9714073468454,pebble_granule
1712,boulder,1078.5095346472808,1.0154266118857451,1095.14728265336,boulder,539.2779006605808,boulder
1717,pebble_granule,767.2472492660745,1.1759832815222162,902.269937930812,pebble_granule,406.5557060991142,pebble_granule
1716,boulder,447.827997405082,1.0107789675960723,452.6551208777253,boulder,222.8986978982139,boulder
1715,boulder,1115.8473392073065,1.0018686870561793,1117.9325086867552,boulder,550.4979155900754,boulder
1718,bedrock,1388.210009063594,1.4363150708545867,1993.9069575292224,bedrock,1993.9069575292224,bedrock
1724,boulder,85.67539122141898,1.2026897738700906,103.04091689431993,boulder,50.739923501685496,boulder
1723,boulder,117.20169030502439,1.1033779189624917,129.31775714764424,boulder,63.679296563428714,boulder
1722,boulder,160.4367831402924,1.0416125740049451,167.11297065183314,boulder,82.29060457322893,boulder
1721,boulder,591.1508396835998,1.0416125740049451,615.750147748019,boulder,303.21076650481825,boulder
1720,pebble_granule,409.7134465347626,1.0018686870561793,410.47907274904475,pebble_granule,184.95862739604485,pebble_granule
1729,boulder,130.5442526921106,1.0107789675960723,131.95138496173234,boulder,64.97616073978105,boulder
1731,boulder,301.23021241277456,1.035276180410083,311.8564637308152,boulder,153.5659191526467,boulder
1728,pebble_granule,362.2388464831747,1.0154266118857451,367.82696457781066,pebble_granule,165.7399244057413,pebble_granule
1727,boulder,372.02319584414363,1.0592221479113848,394.0552085748916,boulder,194.042636082491,boulder
1725,pebble_granule,533.2776094023138,1.0154266118857451,541.5042761099213,pebble_granule,243.99754893134926,pebble_granule
1726,boulder,167.03778399586918,1.1033779189624917,184.30580249346835,boulder,90.75678479284615,boulder
1732,pebble_granule,604.0982775921002,1.0107789675960723,610.6098333511086,pebble_granule,275.13596709032606,pebble_granule
1734,pebble_granule,1602.1840115648229,1.0018686870561793,1605.1779920888514,pebble_granule,723.280522329099,pebble_granule
1736,boulder,191.34064511023462,1.1033779189624917,211.12104281467134,boulder,103.96127950801454,boulder
1744,boulder,1739.5314750059042,1.0018686870561793,1742.782114957064,boulder,858.1894829577323,boulder
1740,pebble_granule,541.1460942169651,1.0560441249590302,571.4741535423519,pebble_granule,257.5017389403708,pebble_granule
1741,boulder,822.8054235931486,1.0182872914623238,837.8523061911773,boulder,412.57942187619045,boulder
17057,bedrock,57.040886513888836,1.9999999999999996,114.08177302777764,bedrock,114.08177302777764,bedrock
17011,bedrock,232.31551473774016,1.097858947342143,255.0496664612235,bedrock,255.0496664612235,bedrock
17073,boulder,94.45914680883288,1.356341704909257,128.11888022696618,boulder,63.088939595763826,boulder
15240,boulder,476.67124013148714,1.1033779189624917,525.9485209655504,boulder,258.9902004364612,boulder
15241,pebble_granule,6565.050965462811,1.035276180410083,6796.640887721866,pebble_granule,3062.51269054446,pebble_granule
15242,pebble_granule,4739.543054095237,1.060032277095363,5024.068616024085,pebble_granule,2263.805628238386,pebble_granule
15244,pebble_granule,1850.6954264882952,1.0485291251408106,1940.5080564378716,pebble_granule,874.3776002172591,pebble_granule
17000,bedrock,114.07209128327668,1.4461042949778538,164.9601411418522,bedrock,164.9601411418522,bedrock
15245,bedrock,416.385367709212,1.1940578594922877,497.1882208907708,bedrock,497.1882208907708,bedrock
15243,bedrock,562.6709822099656,1.0485291251408106,589.9769127187359,bedrock,589.9769127187359,bedrock
15239,bedrock,1014.5603833250061,1.2936435667199802,1312.4795129373513,bedrock,1312.4795129373513,bedrock
17001,bedrock,246.51131916604936,1.9999999999999996,493.0226383320986,bedrock,493.0226383320986,bedrock
17003,boulder,1721.5986410249025,1.0154266118857451,1748.15707508302,boulder,860.8362476977561,boulder
17004,pebble_granule,665.6514034178108,1.0416125740049451,693.35087170403,pebble_granule,312.41842531794947,pebble_granule
17005,bedrock,332.5460201986134,1.4801872329222612,492.23037345709594,bedrock,492.23037345709594,bedrock
17019,bedrock,234.92525972612202,1.1033779189624917,259.2113441883314,bedrock,259.2113441883314,bedrock
17006,pebble_granule,1046.946251285728,1.0154266118857451,1063.0970847695487,pebble_granule,479.02314793018894,pebble_granule
17007,pebble_granule,1940.2756159874261,1.0485291251408106,2034.4354941633435,pebble_granule,916.7005616295987,pebble_granule
17010,boulder,470.2513729748898,1.1033779189624917,518.8649813022885,boulder,255.5020884177794,boulder
17009,pebble_granule,212.8808590262197,1.082392200292394,230.42058140152488,pebble_granule,103.82569365693404,pebble_granule
17012,boulder,983.8208346609026,1.1856890474341606,1166.5055882949664,boulder,574.4165143161488,boulder
17014,pebble_granule,1099.485066597117,1.1033779189624917,1213.1475447122637,pebble_granule,546.6346997817428,pebble_granule
17015,boulder,215.15563950361684,1.1406062304931168,245.40786294355635,boulder,120.84496690998074,boulder
17016,boulder,307.71384465135634,1.1033779189624917,339.524661547361,boulder,167.19043146245923,boulder
17022,bedrock,149.90626172418706,1.9999999999999996,299.81252344837407,bedrock,299.81252344837407,bedrock
17021,boulder,312.0352609041147,1.035276180410083,323.04267306207555,boulder,159.07428828259256,boulder
17020,boulder,105.9397923015058,1.1406062304931168,120.83558715624426,boulder,59.50246400541358,boulder
17018,boulder,353.36701097805053,1.1033779189624917,389.8973572029574,boulder,191.9952061206663,boulder
17017,pebble_granule,300.77193812001497,1.082392200292394,325.55319988793076,pebble_granule,146.6916999992225,pebble_granule
17029,bedrock,1738.2738461443223,1.516654807080606,2636.3613847772804,bedrock,2636.3613847772804,bedrock
17027,boulder,994.1253550151014,1.4801872329222612,1471.4916584176635,boulder,724.599279896318,boulder
17026,pebble_granule,482.19122135080397,1.0560441249590302,509.21520641433585,pebble_granule,229.44834921016906,pebble_granule
17024,boulder,404.97304784413427,1.0729523139858497,434.5167687862661,boulder,213.96691986957708,boulder
17023,boulder,267.8741081120679,1.1620882641587653,311.29335730903045,boulder,153.2886314728993,boulder
17028,pebble_granule,1181.1013318193145,1.02950343764298,1215.9478813126861,pebble_granule,547.896509331234,pebble_granule
17036,pebble_granule,1336.919088944327,1.0154266118857451,1357.5432208521152,pebble_granule,611.6982507245184,pebble_granule
17035,pebble_granule,400.57752229925245,1.082392200292394,433.5819857491634,pebble_granule,195.3686174808856,pebble_granule
17034,boulder,426.27597793750465,1.1406062304931168,486.2130363450642,boulder,239.42345442221824,boulder
17030,boulder,884.85557638295,1.0485291251408106,927.7968433807822,boulder,456.87036060178167,boulder
17033,boulder,441.76429278732394,1.1033779189624917,487.4329660476144,boulder,240.02417830599651,boulder
17031,pebble_granule,755.6194218932069,1.0154266118857451,767.2760694480845,pebble_granule,345.7285354123582,pebble_granule
17032,boulder,558.7610064707696,1.064177772475912,594.6210432124623,boulder,292.8062672038967,boulder
17038,boulder,606.8679756710771,1.1620882641587653,705.2341524211458,boulder,347.27492750598276,boulder
17039,pebble_granule,377.0279750523623,1.082392200292394,408.0921394887123,pebble_granule,183.8830941257118,pebble_granule
17040,pebble_granule,831.4448744435795,1.0154266118857451,844.2712518260126,pebble_granule,380.4219563299119,pebble_granule
17041,bedrock,592.0362354833633,1.035276180410083,612.9210125355808,bedrock,612.9210125355808,bedrock
17042,pebble_granule,292.77853973035235,1.0069799246935383,294.8221118895543,pebble_granule,132.84451452274925,pebble_granule
17043,pebble_granule,196.6708341537742,1.0154266118857451,199.70479878151022,pebble_granule,89.98540466303812,pebble_granule
17044,bedrock,186.89859891682863,1.0317458822093848,192.83185982314131,bedrock,192.83185982314131,bedrock
17045,pebble_granule,238.2541027031839,1.0154266118857451,241.92955627577237,pebble_granule,109.01154681436844,pebble_granule
17048,boulder,320.3270438811742,1.1273819468663424,361.13092636469844,boulder,177.82989641513663,boulder
